row,cid,primera,segunda ,tercera,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,smiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
1,70680457,-6.8,-6.8,-6.7,"(2e)-3-(4-{[6-(1,3-Benzothiazol-5-Ylamino)-9h-Purin-2-Yl]amino}-3,5-Dimethylphenyl)prop-2-Enenitrile","(2e)-3-(4-{[6-(1,3-Benzothiazol-5-Ylamino)-9h-Purin-2-Yl]amino}-3,5-Dimethylphenyl)prop-2-Enenitrile|Q27451890|(E)-3-[4-[[6-(1,3-benzothiazol-5-ylamino)-9H-purin-2-yl]amino]-3,5-dimethyl-phenyl]prop-2-enenitrile|1BT",438.5,C23H18N8S,143,712,5.2,32,3,8,5,"InChI=1S/C23H18N8S/c1-13-8-15(4-3-7-24)9-14(2)19(13)29-23-30-21-20(25-11-26-21)22(31-23)28-16-5-6-18-17(10-16)27-12-32-18/h3-6,8-12H,1-2H3,(H3,25,26,28,29,30,31)/b4-3+",CC1=CC(=CC(=C1NC2=NC3=C(C(=N2)NC4=CC5=C(C=C4)SC=N5)NC=N3)C)/C=C/C#N,FZDPEDQCVGYRLP-ONEGZZNKSA-N,"(E)-3-[4-[[6-(1,3-benzothiazol-5-ylamino)-7H-purin-2-yl]amino]-3,5-dimethylphenyl]prop-2-enenitrile",NULL,Biomolecular Interactions and Pathways|Names and Identifiers,2,NULL,20130117,"Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|NCBI Structure|NIAID ChemDB|Protein Data Bank in Europe (PDBe)|Wikidata",Curation Efforts|Governmental Organizations|Research and Development,NULL
2,70683270,-7.3,-7.1,-7,"8-N-(cyclopropylmethyl)-4-N-(2-methylsulfonylphenyl)-2-piperazin-1-ylpyrimido[5,4-d]pyrimidine-4,8-diamine",CHEMBL2017217|BDBM50380239,454.6,C21H26N8O2S,133,724,2.4,32,3,10,7,"InChI=1S/C21H26N8O2S/c1-32(30,31)16-5-3-2-4-15(16)26-20-17-18(19(25-13-24-17)23-12-14-6-7-14)27-21(28-20)29-10-8-22-9-11-29/h2-5,13-14,22H,6-12H2,1H3,(H,23,24,25)(H,26,27,28)",CS(=O)(=O)C1=CC=CC=C1NC2=NC(=NC3=C2N=CN=C3NCC4CC4)N5CCNCC5,KRRZJPGYPJAWIF-UHFFFAOYSA-N,"8-N-(cyclopropylmethyl)-4-N-(2-methylsulfonylphenyl)-2-piperazin-1-ylpyrimido[5,4-d]pyrimidine-4,8-diamine",NULL,Biological Test Results|Classification,2,656473,20130204,BindingDB|ChEMBL,Curation Efforts|Research and Development,NULL
3,70687739,-7.5,-7.2,-7,"N4-(3-chloro-4-fluorophenyl)-5-methyl-N2-(4-((4-methylpiperazin-1-yl)methyl)phenyl)pyrimidine-2,4-diamine","CHEMBL2022966|SCHEMBL12964809|BDBM50382423|N4-(3-chloro-4-fluorophenyl)-5-methyl-N2-(4-((4-methylpiperazin-1-yl)methyl)phenyl)pyrimidine-2,4-diamine",440.9,C23H26ClFN6,56.3,540,4.7,31,2,7,6,"InChI=1S/C23H26ClFN6/c1-16-14-26-23(29-22(16)27-19-7-8-21(25)20(24)13-19)28-18-5-3-17(4-6-18)15-31-11-9-30(2)10-12-31/h3-8,13-14H,9-12,15H2,1-2H3,(H2,26,27,28,29)",CC1=CN=C(N=C1NC2=CC(=C(C=C2)F)Cl)NC3=CC=C(C=C3)CN4CCN(CC4)C,WJLWVXDGXZCYGK-UHFFFAOYSA-N,"4-N-(3-chloro-4-fluorophenyl)-5-methyl-2-N-[4-[(4-methylpiperazin-1-yl)methyl]phenyl]pyrimidine-2,4-diamine",NULL,Biological Test Results|Classification|Patents,3,658391,20130204,BindingDB|ChEMBL|Google Patents|IBM|NextMove Software|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
4,70691692,-7.7,-7.3,-7.2,"8-N-(cyclopropylmethyl)-4-N-(2-methylphenyl)-2-morpholin-4-ylpyrimido[5,4-d]pyrimidine-4,8-diamine",CHEMBL2017238|BDBM50380271,391.5,C21H25N7O,88.1,527,3.3,29,2,8,6,"InChI=1S/C21H25N7O/c1-14-4-2-3-5-16(14)25-20-17-18(19(24-13-23-17)22-12-15-6-7-15)26-21(27-20)28-8-10-29-11-9-28/h2-5,13,15H,6-12H2,1H3,(H,22,23,24)(H,25,26,27)",CC1=CC=CC=C1NC2=NC(=NC3=C2N=CN=C3NCC4CC4)N5CCOCC5,JUXAOIHETZHGAN-UHFFFAOYSA-N,"8-N-(cyclopropylmethyl)-4-N-(2-methylphenyl)-2-morpholin-4-ylpyrimido[5,4-d]pyrimidine-4,8-diamine",NULL,Biological Test Results|Classification,2,656473,20130204,BindingDB|ChEMBL,Curation Efforts|Research and Development,NULL
5,70695885,-8.3,-7.3,-7.2,"8-N-(cyclopropylmethyl)-4-N-(4-methylsulfanylphenyl)-2-piperazin-1-ylpyrimido[5,4-d]pyrimidine-4,8-diamine",CHEMBL2017216|BDBM50380248,422.6,C21H26N8S,116,535,3.2,30,3,9,7,"InChI=1S/C21H26N8S/c1-30-16-6-4-15(5-7-16)26-20-17-18(19(25-13-24-17)23-12-14-2-3-14)27-21(28-20)29-10-8-22-9-11-29/h4-7,13-14,22H,2-3,8-12H2,1H3,(H,23,24,25)(H,26,27,28)",CSC1=CC=C(C=C1)NC2=NC(=NC3=C2N=CN=C3NCC4CC4)N5CCNCC5,UAEPNLSYGYDOIJ-UHFFFAOYSA-N,"8-N-(cyclopropylmethyl)-4-N-(4-methylsulfanylphenyl)-2-piperazin-1-ylpyrimido[5,4-d]pyrimidine-4,8-diamine",NULL,Biological Test Results|Classification,2,656473,20130204,BindingDB|ChEMBL,Curation Efforts|Research and Development,NULL
6,70698402,-8.2,-7.9,-7.9,N-[(6-fluoro-1H-benzimidazol-2-yl)methyl]-9-(3-fluorophenyl)-2-morpholin-4-ylpurin-6-amine,SCHEMBL15243423,462.5,C23H20F2N8O,96.8,687,3.4,34,2,9,5,"InChI=1S/C23H20F2N8O/c24-14-2-1-3-16(10-14)33-13-27-20-21(30-23(31-22(20)33)32-6-8-34-9-7-32)26-12-19-28-17-5-4-15(25)11-18(17)29-19/h1-5,10-11,13H,6-9,12H2,(H,28,29)(H,26,30,31)",C1COCCN1C2=NC(=C3C(=N2)N(C=N3)C4=CC(=CC=C4)F)NCC5=NC6=C(N5)C=C(C=C6)F,VVIGGAWFXZGAHU-UHFFFAOYSA-N,N-[(6-fluoro-1H-benzimidazol-2-yl)methyl]-9-(3-fluorophenyl)-2-morpholin-4-ylpurin-6-amine,NULL,Classification|Patents,2,NULL,20130206,Google Patents|IBM|PATENTSCOPE (WIPO)|SureChEMBL|The Scripps Research Institute Molecular Screening Center|Thomson Pharma,Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
7,70698403,-8.7,-8.6,-8.5,N-[(6-fluoro-1H-benzimidazol-2-yl)methyl]-9-(3-fluorophenyl)-2-piperazin-1-ylpurin-6-amine,SCHEMBL15243380,461.5,C23H21F2N9,99.6,683,3.1,34,3,9,5,"InChI=1S/C23H21F2N9/c24-14-2-1-3-16(10-14)34-13-28-20-21(31-23(32-22(20)34)33-8-6-26-7-9-33)27-12-19-29-17-5-4-15(25)11-18(17)30-19/h1-5,10-11,13,26H,6-9,12H2,(H,29,30)(H,27,31,32)",C1CN(CCN1)C2=NC(=C3C(=N2)N(C=N3)C4=CC(=CC=C4)F)NCC5=NC6=C(N5)C=C(C=C6)F,ZCWHEJVHCBPIMQ-UHFFFAOYSA-N,N-[(6-fluoro-1H-benzimidazol-2-yl)methyl]-9-(3-fluorophenyl)-2-piperazin-1-ylpurin-6-amine,NULL,Classification|Patents,2,NULL,20130206,Google Patents|IBM|PATENTSCOPE (WIPO)|SureChEMBL|The Scripps Research Institute Molecular Screening Center|Thomson Pharma,Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
8,70702123,-6.2,-6.1,-5.9,"Bisanilinopyrimidine, 3a","Bisanilinopyrimidine, 3a|BDBM92790",337.33,C17H15N5O3,122,439,1.5,25,4,8,6,"InChI=1S/C17H15N5O3/c18-25-14-8-4-3-7-13(14)21-17-19-10-9-15(22-17)20-12-6-2-1-5-11(12)16(23)24/h1-10H,18H2,(H,23,24)(H2,19,20,21,22)",C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC=C2)NC3=CC=CC=C3ON,CNPGGULOTCOTCG-UHFFFAOYSA-N,2-[[2-(2-aminooxyanilino)pyrimidin-4-yl]amino]benzoic acid,NULL,NULL,0,NULL,20130227,BindingDB,Curation Efforts|Research and Development,NULL
9,70702126,-7,-6.5,-6.4,"Bisanilinopyrimidine, 3k","Bisanilinopyrimidine, 3k|CHEMBL2170600|BDBM92797|ZINC89469956|AKOS024459044|MCULE-1966023689",364.4,C19H16N4O4,124,524,4,27,4,8,6,"InChI=1S/C19H16N4O4/c1-11-10-16(22-15-5-3-2-4-14(15)18(26)27)23-19(20-11)21-13-8-6-12(7-9-13)17(24)25/h2-10H,1H3,(H,24,25)(H,26,27)(H2,20,21,22,23)",CC1=CC(=NC(=N1)NC2=CC=C(C=C2)C(=O)O)NC3=CC=CC=C3C(=O)O,YLQUKPVGUGPRIK-UHFFFAOYSA-N,2-[[2-(4-carboxyanilino)-6-methylpyrimidin-4-yl]amino]benzoic acid,NULL,Biological Test Results|Classification,2,701623|1343907,20130227,AKos Consulting & Solutions|Ambinter|Aurora Fine Chemicals LLC|BindingDB|Chem-Space.com Database|ChEMBL|Google Patents|Mcule|PATENTSCOPE (WIPO)|Thomson Pharma|ZINC,Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
10,70702133,-7.2,-7.2,-6.8,"Bisanilinopyrimidine, 4b","Bisanilinopyrimidine, 4b|CHEMBL2170426|SCHEMBL15487610|BDBM92807",365.3,C18H15N5O4,151,526,3.2,27,5,9,6,"InChI=1S/C18H15N5O4/c19-14-9-15(21-13-4-2-1-3-12(13)17(26)27)23-18(22-14)20-11-7-5-10(6-8-11)16(24)25/h1-9H,(H,24,25)(H,26,27)(H4,19,20,21,22,23)",C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC(=C2)N)NC3=CC=C(C=C3)C(=O)O,IKQHFRXKCWIHEG-UHFFFAOYSA-N,2-[[6-amino-2-(4-carboxyanilino)pyrimidin-4-yl]amino]benzoic acid,NULL,Biological Test Results|Classification|Patents,3,701623|1343907,20130227,BindingDB|ChEMBL|Google Patents|PATENTSCOPE (WIPO)|SureChEMBL|Thomson Pharma,Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
